doccano_id	query	passage	passage_id	label	score
4101	Onde está localizada a Praça XV de Novembro?	Praça XV (Rio de Janeiro) – Wikipédia, a enciclopédia livre [ocultar] 5 línguas Praça XV (Rio de Janeiro) Origem: Wikipédia, a enciclopédia livre. Coordenadas: 22° 54′ 10″ S, 43° 10′ 24″ W Nota: Este artigo é sobre a praça da cidade do Rio de Janeiro. Para praças de outros lugares, veja Praça XV de Novembro. Esta página cita fontes, mas estas não cobrem todo o conteúdo. Ajude a inserir referências. Conteúdo não verificável poderá ser removido .— Encontre fontes: Google (notícias, livros e acadêmico)(Maio de 2019) A praça e as edificações das imediações. Trecho do Elevado da Perimetral que passava sobre a praça, em 2011. A Praça XV, também conhecida como Praça XV de Novembro, Praça Quinze de Novembro ou Praça Quinze, é uma praça situada no bairro do Centro, na Zona Central da cidade do Rio de Janeiro. Além de estar localizada na Rua Primeiro de Março, a praça integra a Orla Conde, um passeio público que margeia a Baía de Guanabara . A praça, que existe desde o século XVI, foi reinaugurada no dia 29 de maio de 2016 após ser revitalizada.[1] A revitalização da praça foi feita durante a gestão do prefeito Eduardo Paes no âmbito do Porto Maravilha, uma operação urbana que visa revitalizar a Zona Portuária do Rio de Janeiro.	clueweb22-pt0001-14-16263_0	Perfect	3
4102	Onde está localizada a Praça XV de Novembro?	Rua XV de Novembro, 818 Centro, Pomerode, Santa Catarina 89107-000 Brasil Tela cheia O melhor por perto Restaurantes 100 dentro de 5 km Tarthurel Pizzaria 317 56 m $$ - $$$ • Italiana • Pizza Restaurante Torten Paradies 1.409 0.5 km $$ - $$$ • Docerias • Alemã • Brasileira Mon Cheri Bistro @ Casa Romena 106 0.7 km $$ - $$$ • Mediterrânea • Saudável • Leste europeia Veja tudo Atrações 24 dentro de 10 km Praça Jorge Lacerda 58 0.1 km Pontos de interesse Parque Municipal de Eventos 25 0.3 km Centros de convenção Parque Educativo Vila Encantada 1.057 0.9 km Parques Veja tudo Contribua Faça uma avaliação Carregue uma foto Avaliações Mais recente 4.5 722 avaliações Excelente 379 Muito boa 266 Razoável 68 Ruim 9 Horrível 1 Thais Leme, SP 161 contribuições Parada obrigatória para fotos mar de 2022 Quando eu via as fotos achava que era bem maior. O portal é muito bonito e tem um centro e informações turísticas. Estava no período da Osterfest, então estava todo com a decoração de Páscoa. Feita em 29 de abril de 2022 Esta avaliação representa a opinião subjetiva de um membro do Tripadvisor, e não da TripAdvisor LLC. daninoguei São Paulo, SP 2.143 contribuições MUITAS PESSOAS PARA TIRAR FOTOS mar de 2022 Portal turístico da cidade, local de parada para fotos com a representação da arquitetura local.	clueweb22-pt0000-27-16948_2	Irrelevant	0
4103	Onde está localizada a Praça XV de Novembro?	A praça recebeu esse nome por homenagear o dia 15 de novembro de 1889, marcado pela Proclamação da República do Brasil. Nesse dia, foi instaurada a república federativa presidencialista no Brasil, em substituição à monarquia constitucional parlamentarista em vigor desde 1822. Índice 1 História 1.1 Período colonial 1.2 Século XIX 1.3 Século XX 1.4 Século XXI 2 Esculturas e Monumentos 2.1 Chafariz do Mestre Valentim 2.2 Estátua Equestre de Dom João VI 2.3 Estátua Equestre do General Osório 2.4 Estátua do Almirante Negro 2.5 Piskate 3 Transportes 3.1 Modais de transporte público 3.2 Elevado da Perimetral 3.3 Mergulhão da Praça XV 4 Pontos de interesse 5 Feiras 5.1 Feira de Antiguidades 5.2 Feirarte 6 Ver também 7 Referências 7.1 Bibliografia 8 Ligações externas História Período colonial Chafariz do Mestre Valentim, situado no centro da praça. A Praça XV hoje está localizada na região conhecida, nos primórdios da ocupação das terras da cidade, como Praia da Piaçaba. O local já teve diversas denominações: Largo do Terreiro da Polé;[4]Largo do Carmo;[5]Praça do Carmo; Terreiro do Paço; e Largo do Paço. Do século XVI até meados da década de 1770, com a construção do Cais do Valongo, o logradouro foi o principal ponto de desembarque de escravizados africanos na cidade.[6]	clueweb22-pt0001-14-16263_2	Highly Relevant	2
4104	Onde está localizada a Praça XV de Novembro?	Rua Xv de Novembro, Joinville - SC Rua Xv de Novembro, Joinville - SC Distrito: JOINVILLE Subdistrito: JOINVILLE Bairro(s): América / Glória / Vila Nova CEPs encontrados: 89201602 / 89216200 / 89216000 / 89237001 / 89237002 / 89237000 / 89237701 Total de endereços encontrados: 474 Domicílios particulares: 301 Domícilios coletivos: 4 Estabelecimentos agropecuários: 3 Estabelecimentos de ensino: 3 Estabelecimentos de saúde: 6 Estabelecimentos de outras finalidades (comercial, religioso, outros): 152 Edificações em construção: 5 Quantidade estimada de moradores nesse logradouro: 903 Rendimento médio estimado de moradores nesse logradouro: R$ 2.109,11 Visualizar os dados sintetizados de Joinville Cadastre uma nova empresa nessa rua Estabelecimentos de ensino ESCOLA ESTADUAL Rua Xv de Novembro, 0SN, Joinville - SC ESCOLA MUNICIPAL Rua Xv de Novembro, 7030, Joinville - SC ESCOLA MUNICIPAL BERNARDO TANK Rua Xv de Novembro, 8574, Joinville - SC Estabelecimentos de saúde POSTO DE SAUDE Rua Xv de Novembro, 0SN, Joinville - SC CLINICA DE UROLOGIA Rua Xv de Novembro, 1098, Joinville - SC CLINICA Rua Xv de Novembro, 1156, Joinville - SC CONSULTORIO ODONTOLOGICO Rua Xv de Novembro, 1565 - CASA FRENTE, Joinville - SC CONULTORIO ODONTOLOGICO Rua Xv de Novembro, 7276 - LOJA, Joinville - SC	clueweb22-pt0001-31-10534_0	Highly Relevant	2
4105	Onde está localizada a Praça XV de Novembro?	No local onde Floripa foi inicialmente chamada de Nossa Senhora do Desterro, foi fundada, bem no centro da cidade, a Praça XV de Novembro e sua famosa e centenária figueira. Palco de diversas manifestações políticas e culturais, atualmente é um oásis verde no meio da cidade, ótimo para relaxar e participar dos diversos eventos que acontecem ao longo do ano. Pouco acima da Praça, localiza-se a Catedral Metropolitana de Florianópolis. Construída entre 1753 e 1773 em estilo neoclássico, ela é tombada pelo Instituto do Patrimônio Histórico e Artístico Nacional, sendo aberta à visitação e cujos horários das missas e celebrações podem ser conferidos em seu site. Não deixe de visitar a Catedral Metropolitana! Foto: Carlos Colonetti Neto 2.Passeios em Florianópolis: Memorial Miramar, Alfândega e Mercado Público Saindo da Praça XV e indo na direção oposta à da Catedral, você chegará ao Memorial Miramar, que marca o local onde ficava o píer de desembarque de passageiros, no início do Século XX, antes de ser realizado o aterro da Baía Sul.	clueweb22-pt0000-44-08794_4	Perfect	3
4106	Onde está localizada a Praça XV de Novembro?	Dali, vá até a Rua XV de Novembro, passando pelo relógio de flores. Sabia que só há seis relógios de flores no Brasil? Um deles é esse de Blumenau, super bem cuidado, por sinal! Prefeitura de Blumenau! Linda, né? Relógio de flores de Blumenau Rua XV de Novembro Pensar em Blumenau turismo é igual a pensar nesta rua.Isto porque a Rua XV de Novembro é a mais icônica de Blumenau. Antigamente era chamada de Rua da Linguiça por ser tortuosa. Em 1890 o nome foi mudado e em 1902 o trajeto foi modificado para que a rua não fosse mais tão sinuosa. Vale percorrer toda a rua, desde o Relógio de Flores até a Praça Hercílio Luz, onde está localizado o Museu da Cerveja. É na XV de Novembro que rolam os desfiles da Oktoberfest (e que são imperdíveis, diga-se de passagem), e onde estão localizados vários prédios famosos da cidade. Sabia que 48 deles são considerados patrimônio histórico? Aliás, boa notícia: boa parte desses prédios estão sinalizados com placas nas suas paredes externas, o que quer dizer que dá para ter várias informações sobre aquele prédio lendo essas placas. E, para saber em que dias rolam os desfiles da Oktober, basta conferir esse link aqui. Exemplo de placa na parede de um dos monumentos históricos. As placas são discretas, mas é só procurar, elas estão lá!	clueweb22-pt0001-30-20122_4	Irrelevant	0
4107	Onde está localizada a Praça XV de Novembro?	A Praça XV é o antigo Largo do Carmo, depois Largo do Paço, local de fundamental importância na história do Rio de Janeiro onde localiza-se preservado o Paço Real ou Paço Imperial, além de outras construções históricas como o Arco do Teles e o Chafariz da Pirâmide o edifício do antigo Convento do Carmo que lá funcionou até a chegada da Corte Portuguesa em 1808. Destacam-se também duas Igrejas históricas na Praça XV, como a Igreja do Carmo ou Antiga Sé, a Igreja da Ordem 3ª do Carmo, uma ao lado da outra, podendo portanto serem visitadas no mesmo dia, juntamente com as outras construções do local, descritas anteriormente. Rua Primeiro de Março | Antiga Rua Direita A Rua Primeiro de Março já foi a mais movimentada e importante rua do Rio de Janeiro na verdade continua a ser. Na antiga Rua Direita, estão as Igrejas de São José, a Igreja do Carmo ou Antiga Sé, a Igreja da Ordem 3ª do Carmo, a Igreja de Santa Cruz do Miliatares. O prédio do antigo Convento do Carmo também situa-se nesta rua, de frente para a Praça XV, enquanto o Paço Imperial faz fundos para a Rua Primeiro de Março. As construções enumeradas acima são as mais antigas construções que permanecem no local.	clueweb22-pt0001-23-12229_1	Irrelevant	0
4108	Onde está localizada a Praça XV de Novembro?	Conheça dez dos inúmeros projetos assinados por Jaime Lerner e sua equipe, e que estão entre os mais emblemáticos de sua carreira. Rua XV de Novembro Ninguém nega que a Rua XV de Novembro é um dos endereços queridinhos dos curitibanos e de quem visita a capital. Fechado para os carros, o calçadão liga a Praça Osório à Praça Santos Andrade, no Centro, e reúne uma infinidade de lojas. Por ele, é possível andar apressado rumo ao trabalho ou desfrutar um tempo admirando as flores, os transeuntes, a cidade. Calçadão da Rua XV de Novembro, fechada por Lerner para o trânsito de veículos na década de 1970. | Daniel Castellano/Arquivo/Gazeta do Povo	clueweb22-pt0002-15-00077_2	Irrelevant	0
4109	Onde está localizada a Praça XV de Novembro?	O Paço imperial está localizado na região da Praça XV, na rua Primeiro de Março, antigamente chamada Rua Direita e uma das primeiras vias do Rio de Janeiro. Erguido em 1743, o prédio colonial serviu como sede do reinado e do império brasileiro depois da chegada de Dom João VI ao país e em 1938 foi tombado pelo Patrimônio Histórico e Artístico Nacional. Skyscrapercity Com graciosas e tão identificáveis sacadas, o prédio desde 1985 funciona como centro cultural, onde ocorrem mostras de pintura, cinema, escultura, música, artesanato, fotografia etc. O edifício também dispõe de cafeteria e uma interessantíssima livraria, que tem excelente acervo de cds e vinis pouco encontrados no mercado. Endereço: Praça Quinze de Novembro, 48 – Centro 5. Rua do Ouvidor Sup Tours Passar pela rua do Ouvidor é entrar em sintonia com o universo das obras de Machado de Assis e ter a chance de respirar ares do rio colonial, afinal ela é estreitinha como os logradouros de outrora e tem sobrados conservados( ok, alguns nem tanto), cujo charme arquitetônico é indescritível. Rio na Veia	clueweb22-pt0001-08-10626_3	Perfect	3
4110	Onde está localizada a Praça XV de Novembro?	Localizada bem no centro de Curitiba, a Rua das Flores (oficialmente Rua XV de Novembro) foi a primeira grande avenida no Brasil a ser destinada apenas a pedestres. O lugar é muito movimentado, com jeito de cidade de verdade e ideal para quem busca algumas compras, restaurantes ou apenas um café para aquecer o corpo em dia de chuva. É uma boa pedida para emendar a um passeio pelo Centro Histórico. Na época do Natal acontece a apresentação do coral de crianças nas janelas do Palácio Avenida, localizado na XV de Novembro. O passeio é gratuito e faz parte da rota da Linha Turismo. 19- Visite o Museu Paranaense Inaugurado em 1876, o Museu Paranaense reserva um bom acervo que conta a história do estado do Paraná e também de Curitiba. O edifício do Palácio São Francisco, onde funciona hoje o museu, já valeria a visita pela linda arquitetura, porém os mais de 400 mil itens do acervo em exposição são uma ótima surpresa para os turistas que desejam conhecer mais sobre o estado. A entrada é gratuita e o Museu Paranaense faz parte da rota da Linha Turismo. Veja mais no site oficial. Museu Paranaense 20- Aprofunde-se na história no Museu do Holocausto de Curitiba	clueweb22-pt0001-77-16958_14	Irrelevant	0
